aib_administrative,aib_administrative_duration,aib_bouncerates,aib_browser,aib_exitrates,importsequencenumber,aib_informational,aib_informational_duration,aib_month,aib_name,aib_onlineshopperintentionid,aib_operatingsystems,aib_pagevalues,aib_productrelated,aib_productrelated_duration,aib_region,aib_revenue,aib_specialday,statuscode,statecode,timezoneruleversionnumber,aib_traffictype,utcconversiontimezonecode,versionnumber,aib_visitortype,aib_weekend,owningbusinessunit
5,399.2,0.06,2,0.09,7,2,34.3,June,Customer12359,db0ed762-cc7d-ea11-a837-000d3af9a8e2,2,3.17,42,1713.22,6,FALSE,0,Active,Active,,13,,5368260,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
6,61.67,0,2,0.01,7,0,0,May,Customer12358,d90ed762-cc7d-ea11-a837-000d3af9a8e2,2,12.56,18,397.67,1,TRUE,0,Active,Active,,4,,5368259,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
3,67,0,2,0.01,7,0,0,Oct,Customer12357,d70ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,5,141.2,7,FALSE,0,Active,Active,,1,,5368258,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.02,2,0.03,7,0,0,Mar,Customer12356,d50ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,32,1916.63,1,FALSE,0,Active,Active,,10,,5368257,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.2,2,0.2,7,0,0,May,Customer12355,d30ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,1,0,3,FALSE,0,Active,Active,,6,,5368256,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
4,117.32,0.02,2,0.04,7,2,15,Jul,Customer12354,d10ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,230,6978.61,6,FALSE,0,Active,Active,,1,,5368255,Returning_Visitor,TRUE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0,2,0.02,7,0,0,May,Customer12353,cf0ed762-cc7d-ea11-a837-000d3af9a8e2,2,0,8,262.17,1,FALSE,0,Active,Active,,2,,5368254,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
2,44,0,2,0.01,7,0,0,May,Customer12352,cd0ed762-cc7d-ea11-a837-000d3af9a8e2,2,19.21,44,724.32,3,TRUE,0,Active,Active,,2,,5368253,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
0,0,0.04,3,0.08,7,0,0,May,Customer12351,cb0ed762-cc7d-ea11-a837-000d3af9a8e2,3,0,5,274,1,FALSE,0,Active,Active,,3,,5368252,Returning_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
1,22.2,0,2,0,7,0,0,Sep,Customer12350,c90ed762-cc7d-ea11-a837-000d3af9a8e2,2,54.92,16,694.45,7,TRUE,0,Active,Active,,2,,5368251,New_Visitor,FALSE,321d12e4-7e63-ea11-a830-000d3afd27a1
