aibtest_age,aibtest_b,aibtest_chas,aibtest_crim,aibtest_dis,aibtest_indus,aibtest_lstat,aibtest_medv,new_expl_3c39f59f_770a_4b1d_baf1_65f95da65b00,new_pred_3c39f59f_770a_4b1d_baf1_65f95da65b00,new_p1_3c39f59f_770a_4b1d_baf1_65f95da65b00,aibtest_nox,aibtest_ptratio,aibtest_rad,aibtest_rm,aibtest_tax,aibtest_uci_boston_housingid,aibtest_zn,importsequencenumber,aibtest_uci_boston_housing_name,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,organizationid
80.8,396.9,0,0.05,2.5,11.93,7.88,11.9,,,,0.57,21,1,6.03,273,df7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390340,d9024a18-5ac4-4fcd-8db4-e74652d96d30
89.3,393.45,0,0.11,2.39,11.93,6.48,22,,,,0.57,21,1,6.79,273,de7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390339,d9024a18-5ac4-4fcd-8db4-e74652d96d30
91,396.9,0,0.06,2.17,11.93,5.64,23.9,,,,0.57,21,1,6.98,273,dd7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390338,d9024a18-5ac4-4fcd-8db4-e74652d96d30
76.7,396.9,0,0.05,2.29,11.93,9.08,20.6,,,,0.57,21,1,6.12,273,dc7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390337,d9024a18-5ac4-4fcd-8db4-e74652d96d30
69.1,391.99,0,0.06,2.48,11.93,9.67,22.4,,,,0.57,21,1,6.59,273,db7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390336,d9024a18-5ac4-4fcd-8db4-e74652d96d30
79.7,396.9,0,0.22,2.5,9.69,14.33,16.8,,,,0.58,19.2,6,6.03,391,da7803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390335,d9024a18-5ac4-4fcd-8db4-e74652d96d30
73.5,395.77,0,0.18,2.4,9.69,15.1,17.5,,,,0.58,19.2,6,5.57,391,d97803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390334,d9024a18-5ac4-4fcd-8db4-e74652d96d30
65.3,396.9,0,0.24,2.41,9.69,12.92,21.2,,,,0.58,19.2,6,6.02,391,d87803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390333,d9024a18-5ac4-4fcd-8db4-e74652d96d30
70.6,396.9,0,0.27,2.89,9.69,14.1,18.3,,,,0.58,19.2,6,5.79,391,d77803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390332,d9024a18-5ac4-4fcd-8db4-e74652d96d30
72.9,396.9,0,0.29,2.8,9.69,21.14,19.7,,,,0.58,19.2,6,5.39,391,d67803f6-c96e-ea11-a811-000d3af77de6,0,,,Active,Active,,,3390331,d9024a18-5ac4-4fcd-8db4-e74652d96d30
